Sr,Name,Total Volume (cft),Branch
163,98-C/2020,1376.71,Zonglela Unit
164,117-Adh/21,333.65,Zonglela Unit
165,05(b)-Adh/20,211.42,Zonglela Unit
166,7(a)-Adh/20,380.63,Zonglela Unit
167,52-adh/20,257.06,Zonglela Unit
168,53-Adh/20,376.49,Zonglela Unit
169,49-Adh/21-1,882.82,Zonglela Unit
170,100-2,0.0,Zonglela Unit
171,40-Adh/21,523.24,Zonglela Unit
172,63-Adh/21,129.13,Zonglela Unit
173,100-1,30.5,Zonglela Unit
174,100,30.5,Zonglela Unit
175,62-Na/2021,2617.02,Zonglela Unit
176,40(a)-C/2019,813.44,Zonglela Unit
177,48-C/19,1049.233515,Zonglela Unit
178,01-Na/2021-1,1330.17,Zonglela Unit
179,110-Adh/21(B),39.01,Zonglela Unit
180,110-Adh/21(A),34.68,Zonglela Unit
181,43-Na/21,1092.63,Zonglela Unit
182,61-Na/21,1150.87,Zonglela Unit
183,90-Adh/21,174.45,Zonglela Unit
184,90-Na/21(A)-1,174.45,Zonglela Unit
185,90-Na/21(A),174.45,Zonglela Unit
186,50-Na/21-1,1267.34,Zonglela Unit
187,50-Na/21,1237.08,Zonglela Unit
188,52-Na/2021,0.0,Zonglela Unit
189,101-adch/2021,0.0,Zonglela Unit
190,47-Adh/21-1,679.63,Zonglela Unit
191,42-Na/21-2,1077.26,Zonglela Unit
192,42-Na/21-1,1077.26,Zonglela Unit
193,42-Na/21,1077.26,Zonglela Unit
194,40-Na/21,1913.6,Zonglela Unit
195,WSC/MC/21/832,0.0,Ramtokto
196,MTD/S345/2021,0.0,Lingmethang Unit
197,07-WD/20,270.26,Zonglela Unit
198,KFMU/38/2021,0.0,Korilla Unit
199,77-Adh/21-1,477.9,Zonglela Unit
200,345-B/2020,488.01,Bitekha Unit
201,94-Adh/21-A,190.62,Zonglela Unit
202,70-Adh/21-1,315.09,Zonglela Unit
203,70-Adh/21,411.92,Zonglela Unit
204,73-Adh/21(a),474.56,Zonglela Unit
205,67-Adh/21-1,286.03,Zonglela Unit
206,93-L/19-1,1011.96,Lonchu Unit
207,100-L/19-1,1085.51,Lonchu Unit
208,91-L/19-1,1212.84,Lonchu Unit
209,120-L/19-1,1234.89,Lonchu Unit
210,105-L/19-1,896.7,Lonchu Unit
211,129-L/19-1,1299.21,Lonchu Unit
212,102-L/19-1,1185.6,Lonchu Unit
213,124-L/19-1,1037.51,Lonchu Unit
214,79-L/19-1,1117.32,Lonchu Unit
215,276-L/19,838.27,Lonchu Unit
216,234-L/19,1369.62,Lonchu Unit
217,94-L/19-1,651.31,Lonchu Unit
218,62-L/19-1,737.36,Lonchu Unit
219,439-L/19,1140.91,Lonchu Unit
220,182-L/19,1229.072813,Lonchu Unit
221,84-L/19-1,1068.25,Lonchu Unit
222,131-L/19,884.025951,Lonchu Unit
223,194-L/19,1141.74,Lonchu Unit
224,386-L/19,1169.389796,Lonchu Unit
225,86-L/19-1,943.61,Lonchu Unit
226,63-L/19-1,1132.64,Lonchu Unit
227,103-L/19-1,651.15,Lonchu Unit
228,189-L/19,1292.84,Lonchu Unit
229,253-L/19,1172.41,Lonchu Unit
230,104-L/19-1,1142.62,Lonchu Unit
231,387-L/19,1327.29,Lonchu Unit
232,275-L/19,790.24,Lonchu Unit
233,75-L/19-1,1488.97,Lonchu Unit
234,99-L/19-1,1250.27,Lonchu Unit
235,193-L/19,1208.1,Lonchu Unit
236,448-L/19,958.66,Lonchu Unit
237,122-L/19-1,1168.22,Lonchu Unit
238,121-L/19-1,1099.92,Lonchu Unit
239,101-L/19-1,1368.64,Lonchu Unit
240,254-L/19,1259.12,Lonchu Unit
241,186-L/19,1102.91,Lonchu Unit
242,85-L/19-1,951.97,Lonchu Unit
243,123-L/19-1,1215.48,Lonchu Unit
244,408-L/19,1514.06,Lonchu Unit
245,69-L/19-1,1061.69,Lonchu Unit
246,258-L/19,1175.65,Lonchu Unit
247,90-L/19-1,1024.06,Lonchu Unit
248,185-L/19,1181.184376,Lonchu Unit
249,126-L/19-1,1014.06,Lonchu Unit
250,73-L/19-1,840.74,Lonchu Unit
251,239-L/19,1242.56,Lonchu Unit
252,71-L/18,178.4,Lonchu Unit
253,211-L/19,1163.392758,Lonchu Unit
254,268-L/19,1437.863901,Lonchu Unit
255,68-L/19-1,1043.64,Lonchu Unit
256,125-L/19-1,918.96,Lonchu Unit
257,392-L/19,1445.911161,Lonchu Unit
258,127-L/19-1,1080.39,Lonchu Unit
259,77-L/19-1,1198.67,Lonchu Unit
260,128-L/19-1,1088.53,Lonchu Unit
261,42-L/19-1,1053.35,Lonchu Unit
262,418-L/19,1325.97,Lonchu Unit
263,438-L/19,1245.87,Lonchu Unit
264,388-L/19,1556.82,Lonchu Unit
265,188-L/19,1166.58,Lonchu Unit
266,88-L/19-1,991.88,Lonchu Unit
267,201-L/19,1373.48,Lonchu Unit
268,77-Adh/21,477.9,Zonglela Unit
269,139-E/19,1312.26,Haa Unit
270,324-E/19,1578.823581,Haa Unit
271,184-E/19,1044.432901,Haa Unit
272,218-E/19,1189.73,Haa Unit
273,330-E/19,1239.091823,Haa Unit
274,337-E/19,955.68,Haa Unit
275,153-E/19,983.612038,Haa Unit
276,178-E/19,1164.59,Haa Unit
277,183-E/19,1144.48,Haa Unit
278,345-E/19,1200.84,Haa Unit
279,397-E/19,1441.816795,Haa Unit
280,423-E/19,1163.06,Haa Unit
281,177-E/19,1312.26,Haa Unit
282,354-E/19,731.168903,Haa Unit
283,219-E/19,658.95,Haa Unit
284,171-E/19,1149.78,Haa Unit
285,320-E/19,1359.220473,Haa Unit
286,142-E/19,1039.458763,Haa Unit
287,172-E/19,1276.64,Haa Unit
288,393-E/19,1561.61,Haa Unit
289,130-E/19-1,1237.49,Haa Unit
290,321-E/19,1233.297045,Haa Unit
291,406-E/19,1113.976878,Haa Unit
292,353-E/19,971.26,Haa Unit
293,170-E/19,1165.72,Haa Unit
294,417-E/19,1275.72,Haa Unit
295,307-E/19,1122.97,Haa Unit
296,331-E/19,1092.092,Haa Unit
297,03-C/2021,0.0,Zonglela Unit
298,02-c/2021,0.0,Zonglela Unit
299,382-E/19,1425.581909,Haa Unit
300,378-E/19,1372.52,Haa Unit
301,322-E/19,1333.057207,Haa Unit
302,41-Adh/21,282.81,Zonglela Unit
303,56-Adh/21,302.72,Zonglela Unit
304,296-W/19,1012.6,Selela Unit
305,285-W/19,1112.432857,Selela Unit
306,338-W/2019,1167.41,Selela Unit
307,318-W/19,1062.294701,Selela Unit
308,426-W/19,1043.61,Selela Unit
309,225-W/19,1115.02,Selela Unit
310,259-W/19,1081.22,Selela Unit
311,352-W/19,1107.01,Selela Unit
312,247-W/19,1103.04,Selela Unit
313,348-W/19,1106.151219,Selela Unit
314,347-W/19,1060.166007,Selela Unit
315,249-W/19,1025.987533,Selela Unit
316,338-W/19-1,1095.76,Selela Unit
317,273-W/19,1031.03,Selela Unit
318,422-W/19,1127.76,Selela Unit
319,395-W/19,1333.098101,Selela Unit
320,261-W/19,1189.35,Selela Unit
321,279-W/19,1048.43,Selela Unit
322,411-W/19,1021.98,Selela Unit
323,421-W/19,1501.05,Selela Unit
324,308-W/19,986.433166,Selela Unit
325,248-W/19,990.01,Selela Unit
326,257-W/19,1105.76549,Selela Unit
327,222-W/19,1154.65,Selela Unit
328,346-W/19,965.77,Selela Unit
329,290-W/19,1056.9,Selela Unit
330,291-W/19,1085.62,Selela Unit
331,306-W/19,1166.96545,Selela Unit
332,246-W/19,1111.42,Selela Unit
333,226-W/19,1016.46,Selela Unit
334,227-W/19,1064.87,Selela Unit
335,297-W/19,1050.5,Selela Unit
336,289-W/19,1076.76,Selela Unit
337,230-W/19,985.04,Selela Unit
338,305-W/19,1136.22,Selela Unit
339,356-W/19,1003.13,Selela Unit
340,326-W/19,934.725569,Selela Unit
341,366-W/19,1228.28,Selela Unit
342,299-W/19,1003.95,Selela Unit
343,282-W/19,1165.73,Selela Unit
344,412-W/19,1312.2,Selela Unit
345,112-W/19,1096.87,Selela Unit
346,107-W/19,996.04,Selela Unit
347,02-w/2019,898.549371,Selela Unit
348,67-Adh/21,402.87,Zonglela Unit
349,60-Adh/21,129.13,Zonglela Unit
350,01-Na/2021,1330.17,Zonglela Unit
351,60-Adh/20,335.82,Zonglela Unit
352,49-Adh/21,1389.5,Zonglela Unit
353,94-C/20,1098.12,Zonglela Unit
354,91-C/20,1154.12,Zonglela Unit
355,93-C/2020(B),257.62,Zonglela Unit
356,79-Adh/21,123.87,Zonglela Unit
357,55-Adh/21,2189.62,Zonglela Unit
358,57-Adh/21,233.95,Zonglela Unit
359,455-L/2020,1085.88,Lonchu Unit
360,47-Adh/21,679.63,Zonglela Unit
361,47-Adh/19,256.875,Zonglela Unit
362,03-Na/20,1238.21,Zonglela Unit
363,NTD/27/21,0.0,Nganglam Unit
364,SR/59/2021,0.0,Samtse Unit
365,SR/60/2021,0.0,Samtse Unit
366,122-Adh/18,465.166667,Zonglela Unit
367,120-Adh/18,374.951389,Zonglela Unit
368,126-Adh/18,479.673611,Zonglela Unit
369,125-Adh/18,524.680556,Zonglela Unit
370,107-C/20,649.88,Zonglela Unit
371,42-Adh/21-1,192.31,Zonglela Unit
372,42-Adh/21,192.31,Zonglela Unit
373,121-Adh/18,469.166667,Zonglela Unit
374,9-Adh/21,404.93,Zonglela Unit
375,93-C/20,1100.69,Zonglela Unit
376,26-Adh/21-1,63.34,Zonglela Unit
377,391-W/2020,1350.62,Selela Unit
378,60-C/20,1050.45,Zonglela Unit
379,26-Adh/21,4.0,Zonglela Unit
380,19-Adh/21,61.0,Zonglela Unit
381,77-C/20,1035.84,Zonglela Unit
382,44-Adhoc/2020,149.8,Zonglela Unit
383,50-Adhoc/2020-1,317.6,Zonglela Unit
384,50-Adhoc/2020,317.6,Zonglela Unit
385,441-W/2020,76.75,Selela Unit
386,452-B/2020,694.46,Bitekha Unit
387,372-L/2020,1349.38,Lonchu Unit
388,370-L/2020,1266.18,Lonchu Unit
389,369-L/2020,1249.75,Lonchu Unit
390,351-L/2020,713.96,Lonchu Unit
391,296-L/2020,815.87,Lonchu Unit
392,305-W/2020,841.33,Selela Unit
393,267-L/2020,1266.47,Lonchu Unit
394,3533-L/2020,1046.47,Lonchu Unit
395,35(b)-C/20,60.72,Zonglela Unit
396,12(B)-C/20-2,234.19,Zonglela Unit
397,12(B)-C/20-1,234.19,Zonglela Unit
398,12(B)-C/20,234.19,Zonglela Unit
399,441-W/19,76.75,Selela Unit
400,197-B/2020,1341.463118,Bitekha Unit
401,34-C/2020-2,630.71,Zonglela Unit
402,34-C/2020-1,630.71,Zonglela Unit
403,34-C/2020,630.71,Zonglela Unit
404,49-Na/20,1338.81,Zonglela Unit
405,120-L/2020,1063.209288,Selela Unit
406,44-Na/20,278.78,Zonglela Unit
407,10000-1,376.013889,Gidakom Unit
408,10000,376.013889,Gidakom Unit
409,100000-1,361.944444,Gidakom Unit
410,100000,361.944444,Gidakom Unit
411,12-B/2020-1,1260.627445,Bitekha Unit
412,12-B/2020,1260.627445,Bitekha Unit
413,40-Na/20,1265.87,Zonglela Unit
414,53(a)-C/2019,109.51,Khotokha Unit
415,9-Adh/20,80.27,Zonglela Unit
416,136-W/2020-1,825.956586,Lonchu Unit
417,136-W/2020,825.956586,Lonchu Unit
418,21-L/2020,866.544353,Lonchu Unit
419,30-W/2020,1038.62,Selela Unit
420,32-L/2020,893.244767,Lonchu Unit
421,07-L/2020,0.0,Lonchu Unit
422,24-Adh/19-1,363.82,Zonglela Unit
423,41-Adh/19,293.22,Zonglela Unit
424,24-Adh/19,363.82,Zonglela Unit
425,125-Adh/19,524.680556,Zonglela Unit
426,445-E/19,567.85,Haa Unit
427,338-W/19,1095.76,Selela Unit
428,180-L\19,1176.160503,Lonchu Unit
429,99-C/19,402.6,Zonglela Unit
430,198-L/19-2,1262.206282,Selela Unit
431,198-L/19-1,1262.206282,Selela Unit
432,198-L/19,0.0,Lonchu Unit
433,69-Na/19,240.17,Zonglela Unit
434,18-Na/19,1298.74,Zonglela Unit
435,88-L/19,991.88,Lonchu Unit
436,113-B/19,1409.82,Selela Unit
437,20-L/19,1181.88,Selela Unit
438,84-L/19,1068.25,Selela Unit
439,85-L/19,951.97,Selela Unit
440,87-B/19,1081.06,Selela Unit
441,86-L/19,943.61,Selela Unit
442,13-Na/19,107197.0,Zonglela Unit
443,79-L/19,1117.32,Selela Unit
444,52-B/19,923.53,Selela Unit
445,51-B/19,1154.74,Selela Unit
446,50-L/19,1005.17,Selela Unit
447,78-B/19,1048.53,Selela Unit
448,77-L/19,1198.67,Selela Unit
449,75-L/19,1488.97,Selela Unit
450,73-L/19,840.74,Selela Unit
451,69-L/19,1061.69,Selela Unit
452,58-B/19,811.87,Selela Unit
453,64-B/19,733.53,Selela Unit
454,67-B/19,962.59,Selela Unit
455,68-L/19,1043.64,Selela Unit
456,63-L/19,1132.64,Selela Unit
457,62-L/19,737.36,Selela Unit
458,61-L/19,842.47,Selela Unit
459,60-L/19,980.97,Selela Unit
460,48-B/19,1262.99,Selela Unit
461,45-B/19,929.94,Selela Unit
462,42-L/19,1053.35,Selela Unit
463,41-B/19,1072.6,Selela Unit
464,40-B/19,1216.66,Selela Unit
465,36-B/19,1093.53,Selela Unit
466,33-B/19,1059.34,Selela Unit
467,32-B/19,954.99,Selela Unit
468,31-B/19,515.83,Selela Unit
469,22-L/19,867.95,Selela Unit
470,21-L/19,840.48,Selela Unit
471,19-L/19,1150.06,Selela Unit
472,18-L/19,940.24,Selela Unit
473,17-L/19,1070.9,Selela Unit
474,16-L/19,1322.82,Selela Unit
475,90-L/19,1024.06,Selela Unit
476,91-L/19,1212.84,Selela Unit
477,93-L/19,1011.96,Selela Unit
478,94-L/19,651.31,Selela Unit
479,99-L/19,1250.27,Selela Unit
480,108-B/19,1085.48,Selela Unit
481,100-L/19,1085.51,Selela Unit
482,101-L/19,1368.64,Selela Unit
483,102-L/19,1185.6,Selela Unit
484,103-L/19,651.15,Selela Unit
485,105-L/19,896.7,Selela Unit
486,104-L/19,1142.62,Selela Unit
487,109-B/19,1091.82,Selela Unit
488,114-B/19,1104.81,Selela Unit
489,120-L/19,1234.89,Selela Unit
490,121-L/19,1099.92,Selela Unit
491,122-L/19,1168.22,Selela Unit
492,123-L/19,1215.48,Selela Unit
493,124-L/19,1037.51,Selela Unit
494,125-L/19,918.96,Selela Unit
495,126-L/19,1014.06,Selela Unit
496,127-L/19,1080.39,Selela Unit
497,128-L/19,1088.53,Selela Unit
498,130-E/19,1237.49,Selela Unit
499,129-L/19,1299.21,Selela Unit
500,109-Na/19,712.04,Zonglela Unit
501,01-w/2019,963.098764,Selela Unit
